name,imgSrc,categories,dealType,digitalCoupon,isSelected
Flix Lollipops,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/flix_lollipops.svg,Grocery,BOGO,,false
Publix Extra Lean Pork Loin Tenderloins,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/publix_extra_lean_pork_loin_tenderloins.jpg,Meat,BOGO,,false
Boursin Crumbles,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/boursin_crumbles.jpg,Deli,BOGO,,false
Natural Care Flea & Tick Spray,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/natural_care_flea_tick_spray.jpg,Pet,BOGO,,false
Castello Cracked Pepper Whipped Cheese Dip,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/castello_cracked_pepper_whipped_cheese_dip.jpg,Deli,BOGO,,false
Tropical Foliage Plants,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/tropical_foliage_plants.jpg,Floral,BOGO,,false
Landana Gouda Chunk Cheese,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/landana_gouda_chunk_cheese.jpg,Deli,BOGO,,false
Cracking Good Cheese Co. Cheddar Cheese,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/cracking_good_cheese_co_cheddar_cheese.jpg,Deli,BOGO,,false
Landana Organic Gouda Cheese,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/landana_organic_gouda_cheese.jpg,Deli,BOGO,,false
Smash Foods Fruit Spread,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/smash_foods_fruit_spread.jpg,Grocery,BOGO,,false
Stella & Chewy's Meal Mixers for Dogs,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/stella_chewys_meal_mixers_for_dogs.jpg,Pet,BOGO,,false
Love My Garlic Garlic,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/love_my_garlic_garlic.jpg,Frozen Food,BOGO,,false
Ghost Protein Bar,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/ghost_protein_bar.jpg,Health & Nutrition,BOGO,,false
12-Pack Redd's Wicked Apple Bites,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/12pack_redds_wicked_apple_bites.jpg,Beer & Wine,BOGO,,false
Old El Paso Taco Sauce,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/old_el_paso_taco_sauce.jpg,Grocery,BOGO,Save $1.00 with digital coupon,false
1000 Stories Cabernet Sauvignon Wine,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/1000_stories_cabernet_sauvignon_wine.jpg,Beer & Wine,BOGO,,false
Air Wick Scented Oil Refills,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/air_wick_scented_oil_refills.jpg,Housewares,BOGO,,false
Badia Chimichurri Steak Sauce,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/badia_chimichurri_steak_sauce.jpg,Grocery,BOGO,,false
Bodyarmor Sports Drink,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/bodyarmor_sports_drink.jpg,Grocery,BOGO,,false
Butterball Turkey Burgers,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/butterball_turkey_burgers.jpg,Protein|Frozen Food,BOGO,,false
Casa Flores Manchego Cheese,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/casa_flores_manchego_cheese.jpg,Deli,BOGO,,false
Cheez-It Baked Snack Crackers,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/cheezit_baked_snack_crackers.jpg,Grocery,BOGO,,false
